geography_code,Subgroup,Group,Supergroup
S01020385,1a2,1a,1
S01020386,1a1,1a,1
S01020387,2c2,2c,2
S01020388,1a1,1a,1
S01020389,1a1,1a,1
S01020390,1c2,1c,1
S01020391,7b2,7b,7
S01020392,7a2,7a,7
S01020393,1c1,1c,1
S01020394,1b1,1b,1
S01020395,1a1,1a,1
S01020396,7a2,7a,7
S01020397,7a1,7a,7
S01020398,1a1,1a,1
S01020399,7a1,7a,7
S01020400,7a2,7a,7
S01020401,7a1,7a,7
S01020402,2b2,2b,2
S01020403,2b2,2b,2
S01020404,7b2,7b,7
S01020405,7a1,7a,7
S01020406,7a1,7a,7
S01020407,1b2,1b,1
S01020408,7a2,7a,7
S01020409,1c2,1c,1
S01020410,2c2,2c,2
S01020411,7b2,7b,7
S01020412,2b2,2b,2
S01020413,7b1,7b,7
S01020414,7a1,7a,7
S01020415,2b2,2b,2
S01020416,7b2,7b,7
S01020417,1b2,1b,1
S01020418,2c2,2c,2
S01020419,2c2,2c,2
S01020420,8b2,8b,8
S01020421,7a1,7a,7
S01020422,7a2,7a,7
S01020423,8b1,8b,8
S01020424,7b2,7b,7
S01020425,7a2,7a,7
S01020426,8b1,8b,8
S01020427,7a1,7a,7
S01020428,7a2,7a,7
S01020429,2b2,2b,2
S01020430,1c1,1c,1
S01020431,1c1,1c,1
S01020432,1b2,1b,1
S01020433,5a2,5a,5
S01020434,2c2,2c,2
S01020435,8b1,8b,8
S01020436,8b3,8b,8
S01020437,3a1,3a,3
S01020438,3a1,3a,3
S01020439,3a3,3a,3
S01020440,3a3,3a,3
S01020441,3a1,3a,3
S01020442,3a1,3a,3
S01020443,8b1,8b,8
