geography_code,Subgroup,Group,Supergroup
S01019621,2c1,2c,2
S01019622,1c2,1c,1
S01019623,1a1,1a,1
S01019624,7a2,7a,7
S01019625,1a1,1a,1
S01019626,2b1,2b,2
S01019627,2b1,2b,2
S01019628,1a1,1a,1
S01019629,1a1,1a,1
S01019630,1a1,1a,1
S01019631,7a1,7a,7
S01019632,7a2,7a,7
S01019633,8b2,8b,8
S01019634,8b2,8b,8
S01019635,2b2,2b,2
S01019636,2b1,2b,2
S01019637,2b1,2b,2
S01019638,2b1,2b,2
S01019639,2b1,2b,2
S01019640,1a1,1a,1
S01019641,2b1,2b,2
S01019642,2b1,2b,2
S01019643,7b2,7b,7
S01019644,8b2,8b,8
S01019645,8b1,8b,8
S01019646,7a2,7a,7
S01019647,7b2,7b,7
S01019648,2b1,2b,2
S01019649,7b2,7b,7
S01019650,2b1,2b,2
S01019651,2b1,2b,2
S01019652,1a1,1a,1
S01019653,1a1,1a,1
S01019654,1a1,1a,1
S01019655,1a2,1a,1
S01019656,8b2,8b,8
S01019657,7b2,7b,7
S01019658,2b1,2b,2
S01019659,2b1,2b,2
S01019660,2b1,2b,2
S01019661,1a1,1a,1
S01019662,2b1,2b,2
S01019663,7b2,7b,7
S01019664,7b2,7b,7
S01019665,7b2,7b,7
S01019666,8b2,8b,8
S01019667,1a2,1a,1
S01019668,2b1,2b,2
S01019669,1a2,1a,1
S01019670,1b1,1b,1
S01019671,8b2,8b,8
S01019672,7a2,7a,7
S01019673,1a1,1a,1
S01019674,2b1,2b,2
S01019675,2b1,2b,2
S01019676,2b1,2b,2
S01019677,7a2,7a,7
S01019678,2b1,2b,2
S01019679,7b2,7b,7
S01019680,2c2,2c,2
S01019681,7a1,7a,7
S01019682,2c2,2c,2
S01019683,7a2,7a,7
S01019684,8b2,8b,8
S01019685,8b2,8b,8
S01019686,2b1,2b,2
S01019687,1a2,1a,1
S01019688,2c2,2c,2
S01019689,1a1,1a,1
S01019690,2b1,2b,2
S01019691,7a1,7a,7
S01019692,7a1,7a,7
S01019693,7b2,7b,7
S01019694,7a1,7a,7
S01019695,8b1,8b,8
S01019696,8b3,8b,8
S01019697,8b3,8b,8
S01019698,2c2,2c,2
S01019699,8b3,8b,8
S01019700,2b1,2b,2
S01019701,1a2,1a,1
S01019702,7a1,7a,7
S01019703,8b1,8b,8
S01019704,8b2,8b,8
S01019705,8b1,8b,8
S01019706,2c2,2c,2
S01019707,7a2,7a,7
S01019708,7a1,7a,7
S01019709,2b1,2b,2
S01019710,2b1,2b,2
S01019711,1a1,1a,1
S01019712,1a1,1a,1
S01019713,7a2,7a,7
S01019714,8b2,8b,8
S01019715,7a1,7a,7
S01019716,2c2,2c,2
S01019717,2c2,2c,2
S01019718,2c2,2c,2
S01019719,7a1,7a,7
S01019720,1a2,1a,1
S01019721,1a1,1a,1
S01019722,1c2,1c,1
S01019723,1c2,1c,1
S01019724,1c2,1c,1
S01019725,1c2,1c,1
S01019726,1c2,1c,1
S01019727,7a1,7a,7
S01019728,2c2,2c,2
S01019729,7a2,7a,7
S01019730,2b1,2b,2
S01019731,8b2,8b,8
S01019732,7a2,7a,7
S01019733,7a2,7a,7
S01019734,8b2,8b,8
S01019735,7a2,7a,7
S01019736,1a1,1a,1
S01019737,1a1,1a,1
S01019738,2b2,2b,2
S01019739,1a2,1a,1
S01019740,1a1,1a,1
S01019741,1c2,1c,1
S01019742,2b1,2b,2
S01019743,1a1,1a,1
S01019744,2b1,2b,2
S01019745,1a1,1a,1
S01019746,2b1,2b,2
S01019747,1a2,1a,1
S01019748,2b1,2b,2
S01019749,1b2,1b,1
S01019750,1a1,1a,1
S01019751,1a1,1a,1
S01019752,2b1,2b,2
S01019753,1a1,1a,1
S01019754,7a1,7a,7
S01019755,2b1,2b,2
S01019756,1a1,1a,1
S01019757,1a1,1a,1
S01019758,7a2,7a,7
S01019759,8b1,8b,8
S01019760,8b1,8b,8
S01019761,8b1,8b,8
S01019762,7b2,7b,7
S01019763,1a2,1a,1
S01019764,2c2,2c,2
S01019765,8b1,8b,8
S01019766,8b2,8b,8
S01019767,8b1,8b,8
S01019768,8b1,8b,8
S01019769,7a1,7a,7
S01019770,7a2,7a,7
S01019771,7a1,7a,7
S01019772,7a2,7a,7
S01019773,1a2,1a,1
S01019774,2b1,2b,2
S01019775,7a2,7a,7
S01019776,1a1,1a,1
S01019777,1b2,1b,1
S01019778,1a2,1a,1
S01019779,2b2,2b,2
S01019780,2b2,2b,2
S01019781,1a1,1a,1
